,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,RAM_GB,DDR_Version,Processor Name,Processor Type,Generation,Operating System Type,Storage_GB,Disk Drive,Size(Inches),Company,Graphic Card,Touchscreen,SSD,HDD
0,HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,102990.0,8,4,Intel,i5,10,Windows,512,SSD,13.3,HP,No,Yes,512 ,0
1,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK178T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,55990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Asus,Yes,No,512 ,0
2,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),56990.0,8,4,Intel,i5,9,Windows,512,SSD,15.6,Acer,Yes,No,512 ,0
3,Asus VivoBook 14 Ryzen 5 Quad Core 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK501T Thin and ...,AMD Ryzen 5 Quad Core Processor (2nd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,42990.0,8,4,AMD,Ryzen 5,2,Windows,512,SSD,14.0,Asus,No,No,512 ,0
4,HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-cs3010TU Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,52990.0,8,4,Intel,i5,10,Windows,512,SSD,14.0,HP,No,No,512 ,0
5,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,59990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Asus,Yes,No,256 ,1000
6,Asus VivoBook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,64990.0,8,4,Intel,i5,9,Windows,1000+256,Both,15.6,Asus,Yes,No,256 ,1000
7,Asus ROG Strix G15 Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,94990.0,8,4,Intel,i7,10,Windows,1000,SSD,15.6,Asus,Yes,No,1 ,0
8,Asus VivoBook Gaming Core i7 9th Gen - (16 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/4 GB Graphics/...,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Limited International Hardware Warranty,75990.0,16,4,Intel,i7,9,Windows,512,SSD,15.6,Asus,Yes,No,512 ,0
9,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB039T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,53990.0,8,4,Intel,i5,8,Windows,1000+256,Both,14.0,Asus,No,No,256 ,1000
10,HP Pavilion x360 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14-dh1007TU 2 in 1 Laptop,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,50990.0,4,4,Intel,i3,10,Windows,256,SSD,14.0,HP,No,Yes,256 ,0
11,Dell G3 Core i7 9th Gen - (8 GB/1 TB HDD/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|512 GB SSD,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",84990.0,8,4,Intel,i7,9,Windows,512,Both,15.6,Dell,Yes,No,512 ,1000
12,HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,54990.0,8,4,AMD,Ryzen 5,0,Windows,1000,HDD,15.6,HP,Yes,No,1 TB HDD,0
13,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV573T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,47990.0,8,3,Intel,i5,8,Windows,256,SSD,14.0,Asus,No,No,256 ,0
14,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-55G Thin and Ligh...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),54990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Acer,Yes,No,512 ,0
15,Lenovo Thinkpad E14 Core i5 10th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home) E14 Thin and Light L...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,59990.0,8,4,Intel,i5,10,Windows,1000+128,Both,14.0,Lenovo,No,No,128 ,1000
16,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ592T Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,52990.0,8,4,Intel,i5,10,Windows,512,SSD,15.6,Asus,Yes,No,512 ,0
17,HP 14s Ryzen 5 Quad Core 3rd Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14s-dk0093AU Thin and Li...,AMD Ryzen 5 Quad Core Processor (3rd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,46990.0,8,4,AMD,Ryzen 5,3,Windows,1000+256,Both,14.0,HP,No,No,256 ,1000
18,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,59990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Asus,Yes,No,256 ,1000
19,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,52990.0,8,4,Intel,i5,10,Windows,512,SSD,15.6,Asus,Yes,No,512 ,0
20,HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14S-ER0003TU Thin and Light Lapto...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,63990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,HP,No,No,256 ,1000
21,MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,60990.0,8,4,Intel,i5,9,Windows,512,SSD,15.6,MSI,Yes,No,512 ,0
22,Asus Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509FJ-EJ502T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,59990.0,8,4,Intel,i5,8,Windows,512,SSD,15.6,Asus,Yes,No,512 ,0
23,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) SF313-51 Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),54990.0,8,4,Intel,i5,8,Windows,512,SSD,13.3,Acer,No,No,512 ,0
24,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) X412FA-EK295T Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,54990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Asus,No,No,512 ,0
25,Lenovo Ideapad S540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S540-1...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,65990.0,8,4,Intel,i5,10,Windows,1000+256,Both,15.6,Lenovo,Yes,No,256 ,1000
26,HP Omen Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 1660 Ti)...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,85990.0,8,4,AMD,Ryzen 5,0,Windows,512,SSD,15.6,HP,Yes,No,512 ,0
27,HP 15s Core i5 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du2077TU Laptop,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,52490.0,4,4,Intel,i5,10,Windows,1000+256,Both,15.6,HP,No,No,256 ,1000
28,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,78990.0,8,4,Intel,i7,10,Windows,1000+256,Both,15.6,Lenovo,Yes,No,256 ,1000
29,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-55G Thin and Ligh...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),54990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Acer,Yes,No,512 ,0
30,Acer Predator Helios 300 Core i7 8th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics/NV...,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,Windows,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),89990.0,16,4,Intel,i7,8,Windows,1000,Both,15.6,Acer,Yes,No,128 ,1000
31,HP Pavilion x360 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14-dh1011TU 2 in 1 Lapt...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,73990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,HP,No,Yes,256 ,1000
